split_threshold max_recursion_depth n time
1160 5 1000 4082.7
1160 6 1000 3913.6
1160 7 1000 4081.7
1160 8 1000 3967.9
1160 9 1000 4055.6
1160 10 1000 4043.9
1185 0 1000 3948.5
1185 1 1000 3955.6
1185 2 1000 4173.3
1185 3 1000 3909.4
1185 4 1000 3935.7
1185 5 1000 4091.6
1185 6 1000 4103.0
1185 7 1000 4013.2
1185 8 1000 4043.3
1185 9 1000 3934.8
1185 10 1000 4173.4
1210 0 1000 4008.3
1210 1 1000 4046.6
1210 2 1000 4020.2
1210 3 1000 4009.3
1210 4 1000 4171.2
1210 5 1000 4098.2
1210 6 1000 3927.9
1210 7 1000 3920.0
1210 8 1000 4872.7
1210 9 1000 4716.1
1210 10 1000 4928.9
1235 0 1000 4019.2
1235 1 1000 4200.3
1235 2 1000 3919.7
1235 3 1000 4040.9
1235 4 1000 4040.3
1235 5 1000 4045.5
1235 6 1000 4767.6
1235 7 1000 4022.0
1235 8 1000 4813.8
1235 9 1000 4057.5
1235 10 1000 4938.4
1260 0 1000 3957.5
1260 1 1000 3997.9
1260 2 1000 4041.3
1260 3 1000 3976.6
1260 4 1000 4030.6
1260 5 1000 4039.5
1260 6 1000 4180.1
1260 7 1000 4072.0
1260 8 1000 3974.1
1260 9 1000 4040.3
1260 10 1000 4028.8
1285 0 1000 3997.6
1285 1 1000 4060.3
1285 2 1000 3873.8
1285 3 1000 3871.6
1285 4 1000 3761.8
1285 5 1000 4612.4
1285 6 1000 3832.9
1285 7 1000 3838.7
1285 8 1000 4673.5
1285 9 1000 3771.2
1285 10 1000 3854.6
1310 0 1000 3826.0
1310 1 1000 3774.1
1310 2 1000 3795.4
1310 3 1000 3857.3
1310 4 1000 3790.1
1310 5 1000 4729.1
1310 6 1000 4065.6
1310 7 1000 3832.6
1310 8 1000 4736.8
1310 9 1000 3862.4
1310 10 1000 3860.0
1335 0 1000 3841.8
1335 1 1000 3826.4
1335 2 1000 3982.6
1335 3 1000 4595.1
1335 4 1000 3791.6
1335 5 1000 3862.5
1335 6 1000 3813.6
1335 7 1000 4564.4
1335 8 1000 4619.0
1335 9 1000 3795.0
1335 10 1000 4664.4
1360 0 1000 3768.6
1360 1 1000 3808.0
1360 2 1000 3882.2
1360 3 1000 3843.3
1360 4 1000 3848.0
1360 5 1000 3895.8
1360 6 1000 4770.1
1360 7 1000 3888.9
1360 8 1000 3877.7
1360 9 1000 3847.3
1360 10 1000 3803.4
1385 0 1000 3787.5
1385 1 1000 3820.1
1385 2 1000 3786.6
1385 3 1000 3775.3
1385 4 1000 4738.9
1385 5 1000 11621.0
1385 6 1000 3900.9
1385 7 1000 3851.0
1385 8 1000 7244.6
1385 9 1000 4172.3
1385 10 1000 3824.2
1410 0 1000 3795.4
1410 1 1000 3792.2
1410 2 1000 3836.2
1410 3 1000 3833.6
1410 4 1000 3819.2
1410 5 1000 4047.0
1410 6 1000 3847.6
1410 7 1000 3919.0
1410 8 1000 4247.0
1410 9 1000 3808.8
1410 10 1000 4090.5
1435 0 1000 3854.0
1435 1 1000 3974.7
1435 2 1000 4744.4
1435 3 1000 4682.6
1435 4 1000 3913.8
1435 5 1000 3843.8
1435 6 1000 3835.3
1435 7 1000 3854.7
1435 8 1000 3969.2
1435 9 1000 3936.5
1435 10 1000 3989.5
1460 0 1000 4613.8
1460 1 1000 3867.8
1460 2 1000 4314.2
1460 3 1000 3872.0
1460 4 1000 3884.1
1460 5 1000 4694.2
1460 6 1000 3833.4
1460 7 1000 4297.4
1460 8 1000 4785.2
1460 9 1000 4010.7
1460 10 1000 4043.6
1485 0 1000 4562.4
1485 1 1000 3964.8
1485 2 1000 4026.5
1485 3 1000 3848.3
1485 4 1000 4235.1
1485 5 1000 4058.7
1485 6 1000 3989.0
1485 7 1000 3875.2
1485 8 1000 4064.9
1485 9 1000 3956.4
1485 10 1000 3952.0
1510 0 1000 3924.2
1510 1 1000 3909.6
1510 2 1000 3959.3
1510 3 1000 3904.9
1510 4 1000 3863.2
1510 5 1000 3931.5
1510 6 1000 4061.0
1510 7 1000 3896.4
1510 8 1000 3808.9
1510 9 1000 3854.8
1510 10 1000 3902.5
1535 0 1000 3850.8
1535 1 1000 3874.0
1535 2 1000 3910.4
1535 3 1000 4765.2
1535 4 1000 3997.7
1535 5 1000 3995.4
1535 6 1000 4015.8
1535 7 1000 3877.1
1535 8 1000 4001.2
1535 9 1000 4148.7
1535 10 1000 3942.9
1560 0 1000 3993.7
1560 1 1000 3947.0
1560 2 1000 3871.3
1560 3 1000 4875.8
1560 4 1000 3842.5
1560 5 1000 4726.4
1560 6 1000 3830.9
1560 7 1000 3804.5
1560 8 1000 4686.9
1560 9 1000 3882.7
1560 10 1000 3856.9
1585 0 1000 3779.8
1585 1 1000 4695.8
1585 2 1000 3788.4
1585 3 1000 5034.7
1585 4 1000 3801.8
1585 5 1000 3860.9
1585 6 1000 4094.0
1585 7 1000 3855.7
1585 8 1000 3912.9
1585 9 1000 4627.5
1585 10 1000 3787.1
1610 0 1000 3844.5
1610 1 1000 3765.8
1610 2 1000 3882.1
1610 3 1000 3896.2
1610 4 1000 4704.5
1610 5 1000 3911.3
1610 6 1000 4292.1
1610 7 1000 4153.2
1610 8 1000 3988.7
1610 9 1000 4039.0
1610 10 1000 4676.1
1635 0 1000 4610.6
1635 1 1000 3813.1
1635 2 1000 3847.5
1635 3 1000 9378.8
1635 4 1000 4404.3
1635 5 1000 3864.3
1635 6 1000 3884.6
1635 7 1000 3882.7
1635 8 1000 4243.5
1635 9 1000 4967.6
1635 10 1000 4456.8
1660 0 1000 3971.7
1660 1 1000 3853.7
1660 2 1000 3765.5
1660 3 1000 3800.5
1660 4 1000 3841.5
1660 5 1000 4797.9
1660 6 1000 3781.3
1660 7 1000 4859.6
1660 8 1000 3813.8
1660 9 1000 3857.5
1660 10 1000 3818.9
1685 0 1000 3852.1
1685 1 1000 3850.1
1685 2 1000 3861.0
1685 3 1000 3787.3
1685 4 1000 4064.4
1685 5 1000 3868.5
1685 6 1000 3936.8
1685 7 1000 3819.8
1685 8 1000 3824.2
1685 9 1000 4351.0
1685 10 1000 3919.7
1710 0 1000 3792.2
1710 1 1000 4639.9
1710 2 1000 3804.1
1710 3 1000 3935.8
1710 4 1000 3883.4
1710 5 1000 3845.5
1710 6 1000 3860.9
1710 7 1000 3860.6
1710 8 1000 3839.5
1710 9 1000 3919.0
1710 10 1000 3896.8
1735 0 1000 3886.6
1735 1 1000 3815.9
1735 2 1000 5017.0
1735 3 1000 3892.5
1735 4 1000 3882.5
1735 5 1000 3819.4
1735 6 1000 3834.3
1735 7 1000 4849.5
1735 8 1000 3897.5
1735 9 1000 3875.6
1735 10 1000 3924.8
1760 0 1000 3892.1
1760 1 1000 3845.4
1760 2 1000 3918.7
1760 3 1000 3841.6
1760 4 1000 3809.4
1760 5 1000 3848.5
1760 6 1000 3944.5
1760 7 1000 3845.1
1760 8 1000 3830.3
1760 9 1000 3935.6
1760 10 1000 3972.3
1785 0 1000 3842.3
1785 1 1000 3790.0
1785 2 1000 3922.2
1785 3 1000 3840.0
1785 4 1000 3933.9
1785 5 1000 3915.8
1785 6 1000 3820.1
1785 7 1000 3775.0
1785 8 1000 4719.8
1785 9 1000 3830.6
1785 10 1000 4607.7
1810 0 1000 3816.3
1810 1 1000 3879.3
1810 2 1000 4760.5
1810 3 1000 3842.3
1810 4 1000 3874.7
1810 5 1000 3854.4
1810 6 1000 3961.6
1810 7 1000 3827.1
1810 8 1000 3953.7
1810 9 1000 3804.4
1810 10 1000 3842.6
1835 0 1000 4877.0
1835 1 1000 3813.3
1835 2 1000 3824.8
1835 3 1000 3819.0
1835 4 1000 5025.1
1835 5 1000 3809.9
1835 6 1000 3833.2
1835 7 1000 3818.9
1835 8 1000 3867.6
1835 9 1000 3846.7
1835 10 1000 3814.0
1860 0 1000 3840.7
1860 1 1000 3945.2
1860 2 1000 3861.6
1860 3 1000 3810.4
1860 4 1000 3890.9
1860 5 1000 3855.6
1860 6 1000 3973.2
1860 7 1000 3860.7
1860 8 1000 4018.5
1860 9 1000 3813.6
1860 10 1000 3854.4
1885 0 1000 3877.8
1885 1 1000 3918.4
1885 2 1000 3822.2
1885 3 1000 3865.0
1885 4 1000 3808.7
1885 5 1000 4887.2
1885 6 1000 3846.5
1885 7 1000 3886.1
1885 8 1000 3829.9
1885 9 1000 3842.6
1885 10 1000 3837.1
1910 0 1000 3843.2
1910 1 1000 3818.0
1910 2 1000 4007.4
1910 3 1000 3808.7
1910 4 1000 3849.5
1910 5 1000 3842.4
1910 6 1000 3795.2
1910 7 1000 3809.9
1910 8 1000 3803.2
1910 9 1000 3870.8
1910 10 1000 3812.9
1935 0 1000 3813.4
1935 1 1000 3854.8
1935 2 1000 3876.8
1935 3 1000 4975.3
1935 4 1000 3866.8
1935 5 1000 4615.1
1935 6 1000 4662.3
1935 7 1000 3785.9
1935 8 1000 3849.2
1935 9 1000 3785.8
1935 10 1000 3834.1
1960 0 1000 3838.3
1960 1 1000 3831.5
1960 2 1000 3845.2
1960 3 1000 3803.1
1960 4 1000 3801.7
1960 5 1000 3806.3
1960 6 1000 3845.4
1960 7 1000 3869.8
1960 8 1000 4784.5
1960 9 1000 3882.2
1960 10 1000 3843.8
1985 0 1000 3801.0
1985 1 1000 3853.5
1985 2 1000 3860.5
1985 3 1000 6751.5
1985 4 1000 3952.1
1985 5 1000 3841.4
1985 6 1000 3833.6
1985 7 1000 3898.0
1985 8 1000 3905.3
1985 9 1000 4045.3
1985 10 1000 4009.9
2010 0 1000 3964.2
2010 1 1000 3832.3
2010 2 1000 3882.1
2010 3 1000 3838.5
2010 4 1000 3863.1
2010 5 1000 3880.2
2010 6 1000 3838.8
2010 7 1000 3877.1
2010 8 1000 3904.2
2010 9 1000 3830.3
2010 10 1000 3868.1
